x,y,z,x_quat,y_quat,z_quat,w_quat
89620.866564,43178.126717,6.605515,0.000000,0.000000,0.845594,0.533826
89622.273348,43187.223551,6.640636,0.000000,0.000000,0.129383,0.991595
89631.047088,43188.683676,6.765987,0.000000,0.000000,-0.257591,0.966254
89637.723900,43182.783812,6.886194,0.000000,0.000000,-0.163097,0.986610
89646.245136,43180.961779,7.070797,0.000000,0.000000,0.178075,0.984017
89653.530897,43186.886571,7.115661,0.000000,0.000000,0.197508,0.980301
89662.046584,43189.427962,6.910956,0.000000,0.000000,-0.422610,0.906311
89665.598371,43181.136045,6.763271,0.000000,0.000000,-0.723010,0.690837
89659.122283,43174.549352,6.725546,0.000000,0.000000,-0.997178,0.075072
89650.006200,43173.899141,6.910894,0.000000,0.000000,-0.947133,0.320841
89644.104942,43167.827992,7.057109,0.000000,0.000000,-0.476306,0.879280
89648.773616,43160.079093,6.660048,0.000000,0.000000,-0.212259,0.977213
89657.524053,43159.536373,6.462719,0.000000,0.000000,0.141186,0.989983
89664.343228,43164.653040,6.468510,0.000000,0.000000,0.511028,0.859564
89669.269161,43171.915928,6.520770,0.000000,0.000000,-0.230744,0.973015
89676.539064,43168.651122,6.550560,0.000000,0.000000,-0.424476,0.905439
89678.289473,43159.573836,6.543480,0.000000,0.000000,-0.706174,0.708039
89678.182103,43150.554188,6.535774,0.000000,0.000000,-0.940498,0.339798
89671.123582,43146.291747,6.520055,0.000000,0.000000,-0.997181,0.075030
89662.244320,43147.459073,6.447630,0.000000,0.000000,-0.996104,0.088186
89655.868534,43142.339814,6.410212,0.000000,0.000000,-0.795063,0.606527
89657.896964,43133.654199,6.377483,0.000000,0.000000,-0.667034,0.745027
89657.705282,43125.226813,6.368724,0.000000,0.000000,-0.883000,0.469374
89650.376364,43121.697769,6.338337,0.000000,0.000000,-0.998523,0.054326
89642.899067,43123.166601,6.321510,0.000000,0.000000,0.980115,0.198432
89635.906066,43122.085587,6.267982,0.000000,0.000000,0.965606,0.260011
89630.427700,43126.325094,6.223349,0.000000,0.000000,0.880755,0.473572
89628.842852,43133.924265,6.226772,0.000000,0.000000,0.887679,0.460463
89623.874073,43140.741756,6.233504,0.000000,0.000000,0.886023,0.463642
89617.548389,43147.138762,6.229876,0.000000,0.000000,0.881734,0.471747
89614.314245,43156.084233,6.238505,0.000000,0.000000,0.798825,0.601564
89614.756252,43165.606058,6.295903,0.000000,0.000000,0.095761,0.995404
89622.855434,43167.082139,6.349474,0.000000,0.000000,-0.372298,0.928113
89627.048456,43159.043013,6.366442,0.000000,0.000000,-0.535709,0.844403
89630.754244,43150.620485,6.340964,0.000000,0.000000,-0.477121,0.878837
